NodeID,U1,U2,U3,UR1,UR2,UR3
79,-3.2411205768585205e+00,-1.0567232131958008e+01,-1.5360783338546753e+00,-1.5462084770202637e+01,-2.2619327545166016e+01,-7.4675450325012207e+00
80,-1.9996243715286255e+00,-6.2773618698120117e+00,-2.6973290443420410e+00,3.4741699695587158e+00,-3.6607994079589844e+01,1.5052000045776367e+01
81,1.8445106744766235e+00,8.5426721572875977e+00,-1.1123020172119141e+01,-2.7804284095764160e+00,-1.2324890136718750e+01,9.8036212921142578e+00
82,2.1545508503913879e-01,9.7338926792144775e-01,-5.8091430664062500e+00,4.6108069419860840e+00,-5.5106406211853027e+00,3.8309073448181152e+00
83,3.1623505055904388e-02,-5.9958052635192871e-01,-2.9905054569244385e+00,-3.2150502204895020e+00,3.0348868370056152e+00,5.3109502792358398e+00
84,1.3652874231338501e+00,9.2663991451263428e-01,-8.5479640960693359e+00,2.6324815750122070e+00,6.0979156494140625e+00,-4.1035237312316895e+00
85,2.4344751834869385e+00,6.7065262794494629e+00,-1.3068511962890625e+01,2.0173606872558594e+00,-1.0279937744140625e+01,-6.2608428299427032e-02
86,-7.0395035743713379e+00,-1.8843809127807617e+01,-2.1169106960296631e+00,-4.0665059089660645e+00,1.4481945991516113e+01,-2.8661668300628662e+00
87,-9.2040195465087891e+00,-2.5606506347656250e+01,-1.6965380907058716e+00,2.2187072753906250e+01,9.0689468383789062e+01,-1.6621915817260742e+01
88,6.7494469881057739e-01,-1.5054180622100830e+00,5.7272353172302246e+00,-3.8199958801269531e+00,2.3392384052276611e+00,2.3180597305297852e+01
89,1.1461005210876465e+00,-1.8475263118743896e+00,6.1871843338012695e+00,6.6508941352367401e-02,-7.5918924808502197e-01,-1.1613832473754883e+01
90,2.5520231723785400e+00,-1.6775138676166534e-01,1.1284313201904297e+01,9.0495681762695312e+00,2.7975177764892578e-01,1.2991994857788086e+01
91,2.9332785606384277e+00,2.8506535291671753e-01,1.3703798294067383e+01,5.9379993438720703e+01,1.1715967559814453e+02,1.3224340820312500e+02
92,2.4551250934600830e+00,-1.5039293766021729e+00,9.8060874938964844e+00,-5.3094196319580078e+00,9.4451999664306641e+00,-1.2584872245788574e+00
93,4.0149569511413574e-01,-3.8470191955566406e+00,3.7999851703643799e+00,9.5061941146850586e+00,1.4770791053771973e+01,1.6124423980712891e+01
94,-1.3835935294628143e-01,-2.9109442234039307e+00,7.4469482898712158e-01,6.7214250564575195e+00,8.3571958541870117e+00,3.0748176574707031e+00
95,-6.3108485937118530e-01,-2.6638731956481934e+00,-2.7559024095535278e-01,-1.0402626037597656e+01,-8.7365407943725586e+00,-8.8133752346038818e-01
96,-7.3618453741073608e-01,-2.9801094532012939e+00,-1.1429477930068970e+00,2.5072183609008789e+00,4.1533212661743164e+00,-1.0204710960388184e+00
97,6.2744909524917603e-01,-2.2129981517791748e+00,-2.4888913631439209e+00,1.8908630371093750e+01,1.1650758743286133e+01,-8.6136798858642578e+00
98,1.8485096693038940e+00,-1.8357201814651489e+00,-5.2582368850708008e+00,4.1153407096862793e+00,4.1406083106994629e+00,-1.0879262924194336e+01
99,2.8691697120666504e+00,1.1391428709030151e+00,-1.0928211212158203e+01,-1.8763352632522583e+00,1.9212117791175842e-01,-1.1014102697372437e+00
100,-5.2277684211730957e+00,-1.3015871047973633e+01,1.1016030311584473e+00,-6.3242545127868652e+00,4.1402182579040527e+00,3.1272742748260498e+00
101,-9.6509733200073242e+00,-2.1609350204467773e+01,-2.0264654159545898e+00,-1.5901153564453125e+01,-2.5960714340209961e+01,-4.2372884750366211e+00
102,1.2914307117462158e+00,-2.5510337352752686e+00,-5.1028666496276855e+00,2.8038295745849609e+01,2.9847383499145508e+01,-1.5516887664794922e+01
103,-1.3103892326354980e+01,-2.9460037231445312e+01,-2.2376081943511963e+00,-3.2074446678161621e+00,5.1562757492065430e+00,-4.7422904968261719e+00
104,-2.6278123855590820e+00,-7.8687095642089844e+00,-6.9466900825500488e+00,1.3400225639343262e+01,5.5111427307128906e+00,-3.2694292068481445e+00
105,-1.0467882156372070e+01,-2.2815088272094727e+01,-1.7377859354019165e+00,2.6575782775878906e+01,2.4957376480102539e+01,-7.1736097335815430e+00
106,-1.1340941429138184e+01,-2.3663545608520508e+01,-1.8264591693878174e+00,2.7886364459991455e+00,1.3990623474121094e+01,1.0878877639770508e+01
107,-3.2796567678451538e-01,-4.9006209373474121e+00,-7.3896074295043945e+00,3.3729732036590576e+00,-7.7294478416442871e+00,-1.6351243257522583e+00
108,-6.2470974922180176e+00,-1.4236068725585938e+01,-8.0767983198165894e-01,-3.3186626434326172e+01,-4.7029556274414062e+01,-1.2448454856872559e+01
109,-1.0511145591735840e+01,-2.5101158142089844e+01,-2.6034255027770996e+00,-1.7269899368286133e+01,-5.3365268707275391e+01,-1.3169230461120605e+01
110,-4.8106181621551514e-01,-4.7054043412208557e-01,8.7481498718261719e+00,-1.2666010856628418e+01,-2.4917858123779297e+01,-2.0602371215820312e+01
111,-2.2486135363578796e-02,2.2634925842285156e+00,4.5069689750671387e+00,2.3772938251495361e+00,1.0194197654724121e+01,2.0687334060668945e+01
112,1.4630904197692871e+00,2.3676345348358154e+00,1.3883707046508789e+01,-1.8833698272705078e+01,-2.4993270874023438e+01,-3.4082046508789062e+01
113,3.5840038210153580e-02,2.4919037818908691e+00,8.8724317550659180e+00,-3.9129838943481445e+00,-2.2895801544189453e+01,-2.9936523437500000e+01
114,2.9317265748977661e-01,-2.9133794307708740e+00,2.1268031597137451e+00,8.3637504577636719e+00,4.7304506301879883e+00,4.3159284591674805e+00
115,-1.9588239192962646e+00,-7.3582854270935059e+00,2.8863081932067871e+00,2.2791984558105469e+01,3.1071634292602539e+01,2.4113887786865234e+01
116,2.9592239856719971e+00,-6.2983334064483643e-01,9.9908895492553711e+00,2.7105638980865479e+00,-2.0908646583557129e+00,-8.3129520416259766e+00
117,9.7979968786239624e-01,-1.1514772176742554e+00,1.0642684698104858e+00,-1.1408632278442383e+01,-6.6757650375366211e+00,-4.5678181648254395e+00
118,1.7843086719512939e+00,-3.9853591471910477e-02,1.1058225631713867e+01,2.9825857162475586e+01,3.1270799636840820e+01,5.7844337463378906e+01
119,3.4859859943389893e-01,3.6924609541893005e-01,7.8607907295227051e+00,1.5240405797958374e+00,-4.1018581390380859e+00,5.0902509689331055e+00
120,-3.2244067639112473e-02,-4.8754055052995682e-02,1.4396966695785522e+00,2.2253155708312988e+00,4.2802171707153320e+00,2.4381622314453125e+01
121,3.0208867788314819e-01,-1.4726282358169556e+00,3.1774160861968994e+00,3.0724093914031982e+00,1.9290697574615479e+00,-1.8472896575927734e+01
122,-2.6039607822895050e-02,-1.0313424468040466e-01,1.4663872122764587e-01,-3.4150645136833191e-01,2.7604627609252930e-01,-5.9349870681762695e-01
123,-1.3683715835213661e-02,-6.4722439274191856e-03,1.0469608940184116e-02,3.0765761621296406e-03,-1.7188492417335510e-01,6.1887538433074951e-01
124,2.2577176094055176e+00,-1.7803230285644531e+00,5.7758207321166992e+00,-1.4534428119659424e+00,-3.3450639247894287e-01,3.0099177360534668e-01
125,1.3272358179092407e+00,-1.8781611919403076e+00,2.7744555473327637e+00,9.6599698066711426e-01,4.4860544204711914e+00,4.5582103729248047e+00
126,6.4507263898849487e-01,-1.4428141117095947e+00,2.2475540637969971e-01,-6.6100783348083496e+00,-2.4145541191101074e+00,1.6925075054168701e+00
127,1.1302331089973450e-01,-1.6853090524673462e+00,-9.5815551280975342e-01,-6.2184824943542480e+00,-3.8068618774414062e+00,4.1194353103637695e+00
128,-1.3211226463317871e+00,-4.9065709114074707e+00,-2.3478615283966064e+00,1.1167448997497559e+01,1.0094058036804199e+01,-2.1224656105041504e+00
129,-6.3158197402954102e+00,-1.4377847671508789e+01,-2.4164693355560303e+00,-5.7368344068527222e-01,-6.0719017982482910e+00,7.4846649169921875e+00
130,-1.0061563491821289e+01,-2.4130788803100586e+01,-2.1014080047607422e+00,-2.3439603805541992e+01,-7.8205574035644531e+01,1.7300092697143555e+01
