NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
51,23.992312649158,-1.3807503514847,8.516404667641,0.29265689094387,-0.186316199080459,0.937890301764166,5.63828802657755,0,0,0,0
52,26.376736019175,-1.0990085341073,7.570497333826,0.477549250510671,-0.0479699566005668,0.87729447541885,5.19309636066779,0,0,0,0
53,23.975904377591,-1.2183761995184,-8.4837637315993,0.292114325761228,-0.160132083446494,-0.942882249560436,6.15806127980303,0,0,0,0
54,26.347576404538,-1.0982992856336,-7.5175564131394,0.478922718250623,-0.0479377449736091,-0.876547204975454,5.21296954422572,0,0,0,0
55,28.449492663278,-1.0535224072735,-5.8683790891648,0.747346793660728,0.0889787208520861,-0.658449358144236,5.11249638788355,0,0,0,0
56,29.716627269057,-0.9354070463398,-3.5364952600241,0.928398550637548,0.172889963339152,-0.32891517409613,5.19182106923655,0,0,0,0
57,30.192489259972,-0.8883863297416,-1.1795539098071,0.971908567762366,0.205725088864309,-0.114328140551125,5.11278640999887,0,0,0,0
58,30.194631195056,-0.8706002466747,1.158335915549,0.971657351654013,0.209462796671297,0.109577953016786,5.31637055842523,0,0,0,0
59,29.702732326291,-0.878938134692,3.609757052917,0.929186691572264,0.173335728278288,0.326445734398884,5.2737470005155,0,0,0,0
60,28.429237337565,-0.9832995737268,5.947092336547,0.748298561607764,0.0893295796891921,0.657319928868966,5.08222444268862,0,0,0,0
61,12.13266880369,7.165499830721,8.481577914303,0.0510347131686908,0.478870331454015,0.87640097198994,4.83780377226723,0,0,0,0
62,12.243619942528,10.67684835374,4.842202747855,0.149587687258714,0.870905213833594,0.468132067196908,5.39872786521705,0,0,0,0
63,12.212518550223,11.64363503317,-0.135745028481,0.161145113278116,0.986918885180791,-0.00483389491908699,4.9480022423919,0,0,0,0
64,12.131919288536,10.6596791613,-4.8401141616669,0.143443188474077,0.867598078326988,-0.476127741434699,5.03368965100089,0,0,0,0
65,12.373636072295,7.169680078251,-8.3950244927024,0.0569320570524998,0.470063374875497,-0.880794621055572,5.43597345739681,0,0,0,0
66,12.655199310326,2.583044891673,-9.7825068403003,0.0322003907708104,0.0814465218591496,-0.996157416732543,6.05657730934774,0,0,0,0
67,15.036984756556,1.05116158228,-9.7760058510646,0.0399723621822414,-0.0165776111394668,-0.999063257792258,7.38173854426974,0,0,0,0
68,22.346387928092,1.030573575768,-8.9387662447648,0.207360460970268,0.14702145500428,-0.967153726661187,6.67000555860191,0,0,0,0
69,29.634223044863,1.136970202674,-0.1108557545891,0.922999008385416,0.384668433179886,-0.0101502233704295,3.89899867268547,0,0,0,0
70,22.551872663235,0.41636486513,9.03202352952,0.27688236868595,0.0548584270553075,0.959336597285789,5.30484996090674,0,0,0,0
71,17.466433263982,0.547802923867,9.754169665486,0.0603815388872303,-0.0794205535464696,0.995010776542637,4.81772065688035,0,0,0,0
72,14.852455401088,1.038265348671,9.846469979604,0.0206976775104476,-0.0546119939005128,0.998293111399595,5.92079726621437,0,0,0,0
73,14.399497020672,3.493053661137,9.704905553255,0.0372861507167792,0.173037923310419,0.984209134310967,4.75705084275658,0,0,0,0
74,16.760233103306,2.738517730954,9.704833491545,0.106236376157872,0.189376612347066,0.976140528344558,5.60062564029371,0,0,0,0
75,14.027309536501,5.831845504273,9.02547894163,0.0700680677087037,0.397835467963032,0.914777244097274,4.95169785704679,0,0,0,0
76,15.778254630549,6.890227341897,8.175443177154,0.19587009640837,0.533572919920637,0.822760502491668,3.81452387749491,0,0,0,0
77,14.338154130974,9.628969571524,5.792663288428,0.200419459694672,0.807714042444922,0.554463764201935,5.85916955667019,0,0,0,0
78,14.374871536922,10.7461410987,3.442449739368,0.231651239176264,0.932178718375782,0.278173579614214,6.08865194484366,0,0,0,0
79,14.283622177983,11.14742777527,-1.5489430019538,0.21932382874256,0.968301601035097,-0.119536887940805,3.98696652288647,0,0,0,0
80,13.924495449955,10.83896036087,-3.46940814108,0.231333775267615,0.922886067540858,-0.307840852973421,3.76156378350033,0,0,0,0
81,14.446379455537,9.799271368316,-5.4115904355716,0.222246913145336,0.823615646465673,-0.521788823657906,6.97992625270255,0,0,0,0
82,15.054612439153,6.02007954269,-8.7572396858945,0.117110780666577,0.460847411549326,-0.879718550628524,6.50465940801138,0,0,0,0
83,17.616023014989,2.586639634652,-9.5865908377174,0.149820914378026,0.130471204953527,-0.980066813178013,7.82638918687304,0,0,0,0
84,18.172764869495,5.205407048753,-8.5683429589597,0.241188229101627,0.482948191202478,-0.841777454412433,6.10518138140396,0,0,0,0
85,17.03870916126,8.85302500553,-5.6171096285782,0.288790641838858,0.826757196072009,-0.48277583196495,6.79733647501399,0,0,0,0
86,16.796565475311,9.58040135188,4.527287702976,0.322634531599606,0.848243856996865,0.419987283243891,8.31986437462765,0.758888440896799,0.525836737985441,1,0
87,16.424422886984,10.63134901257,-0.7734440919838,0.311819325930095,0.94911799902752,-0.0440877749324772,5.43301359972866,0.571618062472004,0.39607636794235,1,0
