NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,FX_From_KU,FY_From_KU,FZ_From_KU,KU_ForceMagnitude,FX_From_Pressure,FY_From_Pressure,FZ_From_Pressure,PressureForceMagnitude,IsFixedNode
57,30.192489259972,-0.8883863297416,-1.1795539098071,0.971908567762366,0.205725088864309,-0.114328140551125,5.11278640999887,0,0,0,3.03201785026297e-07,-3.85137494722521e-07,7.62120769371571e-07,9.061403199239e-07,0,0,0,0,0
58,30.194631195056,-0.8706002466747,1.158335915549,0.971657351654013,0.209462796671297,0.109577953016786,5.31637055842523,0,0,0,1.74003457607819e-07,-3.4871272468727e-07,-2.51874712738596e-07,4.64024394332287e-07,0,0,0,0,0
59,29.702732326291,-0.878938134692,3.609757052917,0.929186691572264,0.173335728278288,0.326445734398884,5.2737470005155,0,0,0,5.14515193379347e-07,-1.39240966113164e-06,-9.026290899352e-08,1.48717112040642e-06,0,0,0,0,0
60,28.429237337565,-0.9832995737268,5.947092336547,0.748298561607764,0.0893295796891921,0.657319928868966,5.08222444268862,0,0,0,9.43878392112296e-09,-4.79683005944614e-07,4.08400145007759e-07,6.30059961651531e-07,0,0,0,0,0
61,12.13266880369,7.165499830721,8.481577914303,0.0510347131686908,0.478870331454015,0.87640097198994,4.83780377226723,0,0,0,6.95289565511842e-07,5.14382128698546e-07,-3.62637158739243e-07,9.37828482790197e-07,0,0,0,0,0
62,12.243619942528,10.67684835374,4.842202747855,0.149587687258714,0.870905213833594,0.468132067196908,5.39872786521705,0,0,0,-4.38789154929078e-07,3.52939669823193e-07,-5.87496523676151e-07,8.13790205366126e-07,0,0,0,0,0
63,12.212518550223,11.64363503317,-0.135745028481,0.161145113278116,0.986918885180791,-0.00483389491908699,4.9480022423919,0,0,0,-2.62909983946708e-07,1.35428635819612e-07,8.0869237587336e-07,8.61072548543106e-07,0,0,0,0,0
64,12.131919288536,10.6596791613,-4.8401141616669,0.143443188474077,0.867598078326988,-0.476127741434699,5.03368965100089,0,0,0,1.95625316477127e-07,-9.57391726841283e-07,-1.30051947357102e-06,1.62672034603626e-06,0,0,0,0,0
65,12.373636072295,7.169680078251,-8.3950244927024,0.0569320570524998,0.470063374875497,-0.880794621055572,5.43597345739681,0,0,0,-8.13795856782068e-07,-9.48962978475354e-08,-2.67992645242021e-07,8.62026137518256e-07,0,0,0,0,0
66,12.655199310326,2.583044891673,-9.7825068403003,0.0322003907708104,0.0814465218591496,-0.996157416732543,6.05657730934774,0,0,0,1.41218202226828e-08,-4.78345296105352e-07,-5.0677684391813e-08,4.81229545859183e-07,0,0,0,0,0
67,15.036984756556,1.05116158228,-9.7760058510646,0.0399723621822414,-0.0165776111394668,-0.999063257792258,7.38173854426974,0,0,0,1.37199310929186e-09,4.5142516801348e-07,-6.01200195286811e-08,4.55412978986348e-07,0,0,0,0,0
