Node_ID,U1,U2,U3,RF1,RF2,RF3
66,1.037564128637e-03,3.727099392563e-04,1.190561614931e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
67,1.567884231918e-03,2.004729583859e-03,9.469427168369e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
68,-3.096938831732e-03,1.031926833093e-02,3.492097556591e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
69,5.560901947320e-03,2.326383255422e-03,3.915320336819e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
70,2.039909129962e-03,-1.095684152097e-02,3.168882802129e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
71,-1.934304251336e-03,-3.849322674796e-03,9.713289327919e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
72,-1.190655981191e-03,-1.332242973149e-03,3.640165086836e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
73,-1.079539884813e-03,3.175016609021e-04,2.031906135380e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
74,-5.079047405161e-04,-1.231832895428e-03,3.390732407570e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
75,-1.839887700044e-03,5.355319008231e-03,3.194008395076e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
76,-1.923763775267e-03,7.566300220788e-03,4.482935369015e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
77,7.826928980649e-03,6.070630624890e-02,8.622020483017e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
78,5.706305615604e-03,4.720205441117e-02,7.832626253366e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
79,2.473730128258e-03,-8.153272792697e-03,6.880313158035e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
80,-1.131685334258e-03,-3.887128084898e-02,6.787741184235e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
81,-1.471511274576e-02,-7.804726809263e-02,9.563707560301e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
82,3.522682527546e-04,-1.028742082417e-02,5.094204097986e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
83,1.790785812773e-03,2.995111746714e-03,3.052943386137e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
