NodeID,U1_Abaqus,U1_Completed,U1_Error,U2_Abaqus,U2_Completed,U2_Error,U3_Abaqus,U3_Completed,U3_Error,ErrorMagnitude,IsMeasuredNode,IsFixedNode
119,0.348598599,0.335519545,-0.013079055,0.369246095,0.435113812,0.065867717,7.86079073,8.054306169,0.193515439,0.204836137,0,0
120,-0.032244068,-0.035191041,-0.002946973,-0.048754055,-0.093563993,-0.044809938,1.43969667,1.221218891,-0.218477779,0.223045186,0,0
121,0.302088678,0.261966228,-0.04012245,-1.472628236,-1.38617306,0.086455176,3.177416086,2.900172087,-0.277244,0.293169821,0,0
122,-0.026039608,-0.024722972,0.001316636,-0.103134245,-0.121035208,-0.017900964,0.146638721,0.192651681,0.04601296,0.049389984,0,0
123,-0.013683716,-0.014093113,-0.000409397,-0.006472244,-0.005695964,0.00077628,0.010469609,0.008285296,-0.002184313,0.002354026,0,0
124,2.257717609,2.257718,3.91E-07,-1.780323029,-1.780323,2.86E-08,5.775820732,5.775821,2.68E-07,4.74E-07,1,0
125,1.327235818,0.643374948,-0.68386087,-1.878161192,-1.927158402,-0.04899721,2.774455547,1.911699241,-0.862756306,1.102004928,0,0
126,0.645072639,0.382126186,-0.262946453,-1.442814112,-1.194264601,0.248549511,0.224755406,0.182199561,-0.042555845,0.364319497,0,0
127,0.113023311,0.238924904,0.125901593,-1.685309052,-1.317544829,0.367764224,-0.958155513,-0.796634292,0.16152122,0.420940423,0,0
128,-1.321122646,2.560916015,3.882038662,-4.906570911,0.072383852,4.978954763,-2.347861528,-3.166508102,-0.818646574,6.36634879,0,0
129,-6.31581974,0.330628703,6.646448443,-14.37784767,-2.679487135,11.69836054,-2.416469336,-3.048974604,-0.632505269,13.46948325,0,0
130,-10.06156349,0.61054575,10.67210924,-24.1307888,-0.819188323,23.31160048,-2.101408005,-4.419067406,-2.317659401,25.74288596,0,0
131,2.033558846,2.033559,1.54E-07,-1.246151328,-1.246151,3.28E-07,-5.114740372,-5.11474,3.72E-07,5.19E-07,1,0
132,1.646122336,0.965236278,-0.680886058,-1.485498071,-1.496100439,-0.010602368,-3.348335743,-2.375016864,0.973318879,1.18788378,0,0
133,2.171199083,2.171199,-8.33E-08,-0.548780501,-0.548781,-4.99E-07,-7.328126907,-7.328127,-9.27E-08,5.14E-07,1,0
134,1.213515759,0.823139979,-0.39037578,-1.121166706,-0.916596108,0.204570598,-1.653750181,-1.246175401,0.407574781,0.600299576,0,0
135,1.940712929,1.49608663,-0.444626299,0.773086071,0.539751354,-0.233334717,-9.403493881,-8.032918363,1.370575518,1.459662593,0,0
136,0.114783168,0.012467393,-0.102315774,-0.000663096,-0.037926121,-0.037263026,-3.838919163,-3.517774025,0.321145138,0.339103598,0,0
137,-0.020750239,-0.030018172,-0.009267932,0.06649147,-0.060581257,-0.127072727,-1.195285678,-0.654461783,0.540823894,0.555629244,0,0
138,0.017698403,0.017698,-4.03E-07,0.830875158,0.830875,-1.58E-07,-4.450568199,-4.450568,1.99E-07,4.77E-07,1,0
139,0.756620884,0.756621,1.16E-07,0.466033489,0.466033,-4.89E-07,-7.992837429,-7.992837,4.29E-07,6.60E-07,1,0
140,1.672976732,-0.012297224,-1.685273956,-1.799909949,-2.310248168,-0.510338218,-3.928451061,-1.871064076,2.057386985,2.708031501,0,0
141,2.866632938,-1.812292041,-4.67892498,-0.604026139,-4.916157816,-4.312131677,-8.280579567,-1.485055171,6.795524396,9.309455966,0,0
142,0.098193243,0.038162902,-0.060030341,1.740258694,0.844509958,-0.895748736,-3.187255859,-2.106096323,1.081159536,1.405302594,0,0
143,0.044246208,0.044246,-2.08E-07,-0.434256464,-0.434256,4.64E-07,-0.750862002,-0.750862,2.37E-09,5.09E-07,1,0
144,0.169980496,0.160674157,-0.009306339,-0.761588037,-0.743436345,0.018151692,-1.403252006,-1.4075932,-0.004341195,0.020855163,0,0
145,0.009800419,0.004969265,-0.004831154,-0.338273972,-0.308369461,0.029904511,-0.592844009,-0.520848271,0.071995738,0.078108938,0,0
146,-0.012973996,-0.011644195,0.001329801,-0.058237154,-0.067686225,-0.009449071,-0.105790861,-0.13538498,-0.029594119,0.031094456,0,0
147,-3.900079489,-3.900079,4.89E-07,-7.445040226,-7.44504,2.26E-07,-0.998251498,-0.998251,4.98E-07,7.33E-07,1,0
148,-6.55480051,-6.554801,-4.90E-07,-14.33840656,-14.338407,-4.37E-07,-1.592607737,-1.592608,-2.63E-07,7.07E-07,1,0
149,-11.50762367,-11.507624,-3.28E-07,-29.30004883,-29.300049,-1.72E-07,-2.172851086,-2.172851,8.57E-08,3.80E-07,1,0
150,-2.80474472,-2.804745,-2.80E-07,-7.631828785,-7.631829,-2.15E-07,-1.173124433,-1.173124,4.33E-07,5.58E-07,1,0
151,-5.724454403,-2.427041315,3.297413088,-16.55678177,-7.271054301,9.285727467,-1.453526616,-0.3502723,1.103254316,9.915383894,0,0
152,-0.463813841,-0.286079416,0.177734426,-2.291917801,-2.189410852,0.102506949,0.052386913,-0.076182795,-0.128569709,0.242130896,0,0
153,-2.638174295,-1.108011023,1.530163272,-6.53181982,-4.087301459,2.444518362,0.070396528,0.30902621,0.238629683,2.893788829,0,0
154,-4.820103645,-5.388474028,-0.568370383,-13.13494396,-12.68148585,0.453458113,1.50802207,-0.957435509,-2.465457579,2.57043775,0,0
155,-0.028248405,-0.028248,4.05E-07,-0.157260463,-0.15726,4.63E-07,0.766577184,0.766577,-1.84E-07,6.42E-07,1,0
156,-0.447668195,-0.14815095,0.299517245,-2.118653059,-0.362814223,1.755838836,-0.870686889,-0.713911539,0.156775349,1.788088115,0,0
157,-6.302407742,0.344147983,6.646555724,-18.704422,1.648123488,20.35254548,-2.277112961,-3.762428888,-1.485315927,21.46180268,0,0
158,-0.028719747,-0.02872,-2.53E-07,-0.150949121,-0.150949,1.21E-07,-0.492628664,-0.492629,-3.36E-07,4.37E-07,1,0
159,2.943026543,-1.637918567,-4.58094511,2.53961277,-4.599429737,-7.139042507,-12.45227909,-2.465521245,9.986757846,13.10291259,0,0
160,-0.019218182,-0.019218,1.82E-07,-0.382008672,-0.382009,-3.28E-07,0.772732735,0.772733,2.65E-07,4.60E-07,1,0
161,1.824151874,1.828301201,0.004149328,-1.958794355,-1.943367923,0.015426433,5.828920841,5.847326233,0.018405392,0.024371093,0,0
162,1.676768303,1.6729375,-0.003830803,-1.30980289,-1.280283839,0.029519051,-5.010641098,-5.055021993,-0.044380895,0.053438874,0,0
163,0.815585136,-0.272641668,-1.088226805,3.225056648,-1.280379167,-4.505435815,-8.733375549,-3.764487165,4.968888384,6.795074778,0,0
