NodeID,X,Y,Z,U1_Interpolated,U2_Interpolated,U3_Interpolated,U_Magnitude,IsMeasuredNode,IsFixedAnchor
70,22.551872663235,0.41636486513,9.03202352952,1.59846584162931,-0.823164626492568,5.35881948235947,5.65240119716212,0,0
71,17.466433263982,0.547802923867,9.754169665486,0.340711504010146,-0.256833224416152,2.55132585700918,2.58675690059435,0,0
72,14.852455401088,1.038265348671,9.846469979604,0.189597411143689,-0.0280700296621318,2.18529083587293,2.19367981761875,0,0
73,14.399497020672,3.493053661137,9.704905553255,0.280239940521738,0.357739186249794,3.96058485419906,3.98657047309505,0,0
74,16.760233103306,2.738517730954,9.704833491545,0.486190237472193,0.0247568634476552,4.61493467990689,4.64054048027903,0,0
75,14.027309536501,5.831845504273,9.02547894163,0.224606506805714,0.96814789680823,5.70757960534364,5.79346385026508,0,0
76,15.778254630549,6.890227341897,8.175443177154,0.355239079453774,1.22169239572655,8.57928749076306,8.6731136832461,0,0
77,14.338154130974,9.628969571524,5.792663288428,-0.893318978149193,-1.7265921602288,4.43830473288337,4.84537802306693,0,0
78,14.374871536922,10.7461410987,3.442449739368,-2.09210536571981,-5.3328010588476,1.51758585963119,5.92610654948696,0,0
79,14.283622177983,11.14742777527,-1.5489430019538,-2.33963482239029,-6.23255577159899,-1.32307101531321,6.78742657122676,0,0
80,13.924495449955,10.83896036087,-3.46940814108,-1.50150942027747,-4.00159855868122,-1.62060134491457,4.57095944886416,0,0
81,14.446379455537,9.799271368316,-5.4115904355716,-0.870007068984962,-2.32780175475983,-2.87111360952049,3.79721828031001,0,0
82,15.054612439153,6.02007954269,-8.7572396858945,0.184256238249853,0.0133191633835773,-3.68270193282028,3.68733254364798,0,0
83,17.616023014989,2.586639634652,-9.5865908377174,0.231059108264782,-0.609871820079756,-2.63086877351794,2.71049856150328,0,0
84,18.172764869495,5.205407048753,-8.5683429589597,0.241133881491706,-0.963642733422339,-4.57979888340518,4.68628964949034,0,0
85,17.03870916126,8.85302500553,-5.6171096285782,-0.978786655532201,-3.18733140632248,-4.43193573854137,5.54609404908877,0,0
86,16.796565475311,9.58040135188,4.527287702976,-2.23509126334037,-5.76398656122705,3.61229870204221,7.16015893302951,0,0
87,16.424422886984,10.63134901257,-0.7734440919838,-4.64065662325089,-12.0924525251584,-1.47433225699717,13.0359793484093,0,0
88,19.184299689128,2.371148160686,9.48803923098,0.876977399498823,-0.468004867976618,5.43755162688807,5.52766547565558,0,0
89,21.152265232011,2.036977515516,9.126409187514,1.50377276042886,-0.693187733966345,6.48601884462825,6.69404826711027,0,0
90,21.017640546623,4.026553455443,8.328924717785,1.19153529351525,-1.05788553404968,7.48278671056009,7.65055390900415,0,0
91,20.489443477683,5.989798996663,7.191010684722,0.227417319476594,-1.90508820127114,7.78778591433656,8.02064144188975,0,0
