NodeID,U1_Abaqus,U1_Interpolated,U1_Error,U2_Abaqus,U2_Interpolated,U2_Error,U3_Abaqus,U3_Interpolated,U3_Error,ErrorMagnitude,IsMeasuredNode
56,2.01237487793,-0.341950228017581,-2.35432510594758,-0.3582733273506,-1.30812695802434,-0.949853630673735,-1.253775835037,-0.666952469513907,0.586823365523093,2.60565352388283,0
57,1.81746006012,-0.535516020349858,-2.35297608046986,-0.2075913101435,-1.48445168810752,-1.27686037796402,-0.4910807013512,-0.318782676638636,0.172298024712564,2.68263964583348,0
58,1.763912677765,-0.548516634207238,-2.31242931197224,-0.2024213671684,-1.50890017916871,-1.30647881200031,0.1447615027428,-0.0211466011497994,-0.165908103892599,2.66115420598119,0
59,1.686532139778,-0.370710062855776,-2.05724220263378,-0.3682583868504,-1.41030707916545,-1.04204869231505,0.8592966794968,0.467621526131311,-0.391675153365489,2.33912812458336,0
60,1.840000152588,0.0227845373333572,-1.81721561525464,-0.745449244976,-1.15151535820668,-0.406066113230677,1.927660107613,1.13326193885718,-0.794398168755824,2.02440873618995,0
61,-0.1127587109804,0.0204102768112122,0.133168987791612,1.142145514488,0.651142437412282,-0.491003077075718,4.241898059845,3.2466982821705,-0.995199777674501,1.11769432247401,0
62,-0.3723097145557,-0.663603007990874,-0.291293293435174,-1.086915254593,-1.53103039133693,-0.444115136743931,1.7447296381,1.39232221060543,-0.352407427494571,0.637401782582016,0
63,-0.5113688707352,-1.10559651700605,-0.59422764627085,-0.9934245347977,-2.96399058079286,-1.97056604599516,-0.5652180314064,-0.481040419009927,0.0841776123964733,2.05993274347741,0
64,0.00980890262872,-0.55886200420288,-0.5686709068316,1.676496505737,-1.47180968593943,-3.14830619167643,-3.336876869202,-1.05486058025121,2.28201628895079,3.92973495542149,0
65,-0.04855139181018,0.00291310149702093,0.0514644933072009,0.4174536764622,0.109143530651721,-0.308310145810479,-2.339215993881,-1.85307863527302,0.486137358607975,0.577956115561887,0
66,-0.06178404763341,0.0317273331899686,0.0935113808233786,-0.1459520459175,-0.117433292039815,0.0285187538776851,-0.6778875589371,-0.810726358398139,-0.132838799461039,0.164935879384933,0
67,-0.07023110985756,0.0640636988850794,0.134294808742639,-0.3494310379028,-0.273481185297781,0.0759498526050186,-0.732449233532,-1.09458597752186,-0.362136743989857,0.393632439102167,0
68,0.9016035795212,1.11308148052713,0.211477901005931,-1.437360286713,-0.627173369391685,0.810186917321315,-3.59610581398,-3.94491135420731,-0.348805540227315,0.907078303403713,0
69,0.6284396648407,-1.22682012185972,-1.85525978670042,-1.165108442307,-3.10110328101072,-1.93599483870372,-0.3760380744934,-0.39523366342969,-0.0191955889362898,2.68149834276842,0
70,1.07833135128,1.59846584162931,0.520134490349313,-1.980811476707,-0.823164626492568,1.15764685021443,4.590981006622,5.35881948235947,0.767838475737472,1.48332802936005,0
71,0.1133788824081,0.340711504010146,0.227332621602046,-0.9191288352013,-0.256833224416152,0.662295610785148,3.365595579147,2.55132585700918,-0.81426972213782,1.0739417010714,0
72,-0.001672540791333,0.189597411143689,0.191269951935022,-0.4272880256176,-0.0280700296621318,0.399217995955468,2.10501074791,2.18529083587293,0.0802800879629273,0.449893426637088,0
73,0.03650668263435,0.280239940521738,0.243733257887388,-0.3207485675812,0.357739186249794,0.678487753830994,3.088063716888,3.96058485419906,0.872521137311057,1.1318324381964,0
74,0.2343960702419,0.486190237472193,0.251794167230293,-0.6483346223831,0.0247568634476552,0.673091485830755,5.33918762207,4.61493467990689,-0.724252942163109,1.02029151480397,0
75,-0.09010954201221,0.224606506805714,0.314716048817924,0.9485601782799,0.96814789680823,0.0195877185283295,6.788487911224,5.70757960534364,-1.08090830588036,1.1259629815504,0
76,0.3175775408745,0.355239079453774,0.0376615385792738,1.538987159729,1.22169239572655,-0.317294764002446,10.48507785797,8.57928749076306,-1.90579036720694,1.93239004408797,0
77,-0.7187592983246,-0.893318978149193,-0.174559679824593,-1.001284480095,-1.7265921602288,-0.725307680133802,5.342341899872,4.43830473288337,-0.904037166988631,1.17210302959184,0
78,-3.779506921768,-2.09210536571981,1.68740155604819,-11.64617824554,-5.3328010588476,6.3133771866924,-0.7068222761154,1.51758585963119,2.22440813574659,6.90319107856486,0
79,-3.241120576859,-2.33963482239029,0.901485754468711,-10.56723213196,-6.23255577159899,4.33467636036102,-1.536078333855,-1.32307101531321,0.213007318541787,4.43254642754422,0
80,-1.999624371529,-1.50150942027747,0.49811495125153,-6.277361869812,-4.00159855868122,2.27576331113078,-2.697329044342,-1.62060134491457,1.07672769942743,2.56642936619412,0
81,1.844510674477,-0.870007068984962,-2.71451774346196,8.542672157288,-2.32780175475983,-10.8704739120478,-11.12302017212,-2.87111360952049,8.25190656259951,13.9150915041891,0
82,0.2154550850391,0.184256238249853,-0.0311988467892468,0.9733892679214,0.0133191633835773,-0.960070104537823,-5.809143066406,-3.68270193282028,2.12644113358572,2.33333663843723,0
83,0.0316235050559,0.231059108264782,0.199435603208882,-0.5995805263519,-0.609871820079756,-0.0102912937278563,-2.990505456924,-2.63086877351794,0.359636683406056,0.411362388418279,0
84,1.365287423134,0.241133881491706,-1.12415354164229,0.9266399145126,-0.963642733422339,-1.89028264793494,-8.547964096069,-4.57979888340518,3.96816521266382,4.53687390493345,0
85,2.434475183487,-0.978786655532201,-3.4132618390192,6.706526279449,-3.18733140632248,-9.89385768577148,-13.06851196289,-4.43193573854137,8.63657622434862,13.5694224330658,0
86,-7.039503574371,-2.23509126334037,4.80441231103063,-18.84380912781,-5.76398656122705,13.079822566583,-2.11691069603,3.61229870204221,5.72920939807221,15.0661201493495,0
87,-9.204019546509,-4.64065662325089,4.56336292325811,-25.60650634766,-12.0924525251584,13.5140538225016,-1.696538090706,-1.47433225699717,0.222205833708826,14.2654585387001,0
88,0.6749446988106,0.876977399498823,0.202032700688223,-1.50541806221,-0.468004867976618,1.03741319423338,5.72723531723,5.43755162688807,-0.289683690341929,1.09588320005692,0
89,1.146100521088,1.50377276042886,0.357672239340865,-1.847526311874,-0.693187733966345,1.15433857790766,6.187184333801,6.48601884462825,0.298834510827245,1.24488113814225,0
