NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
58,1,1.74003457607819e-07,0,-1.74003457607819e-07
58,2,-3.4871272468727e-07,0,3.4871272468727e-07
58,3,-2.51874712738596e-07,0,2.51874712738596e-07
59,1,5.14515193379347e-07,0,-5.14515193379347e-07
59,2,-1.39240966113164e-06,0,1.39240966113164e-06
59,3,-9.026290899352e-08,0,9.026290899352e-08
60,1,9.43878392112296e-09,0,-9.43878392112296e-09
60,2,-4.79683005944614e-07,0,4.79683005944614e-07
60,3,4.08400145007759e-07,0,-4.08400145007759e-07
61,1,6.95289565511842e-07,0,-6.95289565511842e-07
61,2,5.14382128698546e-07,0,-5.14382128698546e-07
61,3,-3.62637158739243e-07,0,3.62637158739243e-07
62,1,-4.38789154929078e-07,0,4.38789154929078e-07
62,2,3.52939669823193e-07,0,-3.52939669823193e-07
62,3,-5.87496523676151e-07,0,5.87496523676151e-07
63,1,-2.62909983946708e-07,0,2.62909983946708e-07
63,2,1.35428635819612e-07,0,-1.35428635819612e-07
63,3,8.0869237587336e-07,0,-8.0869237587336e-07
64,1,1.95625316477127e-07,0,-1.95625316477127e-07
64,2,-9.57391726841283e-07,0,9.57391726841283e-07
64,3,-1.30051947357102e-06,0,1.30051947357102e-06
65,1,-8.13795856782068e-07,0,8.13795856782068e-07
65,2,-9.48962978475354e-08,0,9.48962978475354e-08
65,3,-2.67992645242021e-07,0,2.67992645242021e-07
66,1,1.41218202226828e-08,0,-1.41218202226828e-08
66,2,-4.78345296105352e-07,0,4.78345296105352e-07
66,3,-5.0677684391813e-08,0,5.0677684391813e-08
67,1,1.37199310929186e-09,0,-1.37199310929186e-09
67,2,4.5142516801348e-07,0,-4.5142516801348e-07
67,3,-6.01200195286811e-08,0,6.01200195286811e-08
68,1,2.09022036715221e-06,0,-2.09022036715221e-06
68,2,2.69411453370427e-06,0,-2.69411453370427e-06
68,3,1.55088893149559e-06,0,-1.55088893149559e-06
69,1,5.00519141086522e-07,0,-5.00519141086522e-07
69,2,-9.75745788356699e-07,0,9.75745788356699e-07
69,3,-9.42315120717368e-07,0,9.42315120717368e-07
70,1,9.59688505497436e-07,0,-9.59688505497436e-07
70,2,-2.99981536788091e-07,0,2.99981536788091e-07
70,3,-5.34160472964729e-07,0,5.34160472964729e-07
71,1,-2.25811683293893e-07,0,2.25811683293893e-07
71,2,-8.64966795880925e-07,0,8.64966795880925e-07
71,3,-8.48503579550797e-08,0,8.48503579550797e-08
72,1,-1.67024452758042e-07,0,1.67024452758042e-07
72,2,1.76420408887559e-07,0,-1.76420408887559e-07
72,3,2.72575430351751e-08,0,-2.72575430351751e-08
73,1,4.6664284151024e-07,0,-4.6664284151024e-07
73,2,-2.40680448626573e-08,0,2.40680448626573e-08
73,3,-2.97337547638943e-08,0,2.97337547638943e-08
74,1,-4.38409068373967e-07,0,4.38409068373967e-07
74,2,8.84564812349276e-07,0,-8.84564812349276e-07
74,3,-1.15112471787276e-07,0,1.15112471787276e-07
75,1,6.69010309229182e-07,0,-6.69010309229182e-07
75,2,2.01645720154797e-06,0,-2.01645720154797e-06
75,3,-1.20517852573998e-06,0,1.20517852573998e-06
76,1,-4.57101072860733e-08,-0.0133898469932245,-0.0133898012831172
76,2,2.56957832516294e-06,-0.0416497773200902,-0.0416523468984154
76,3,-2.43759770990684e-06,-0.0461472887746421,-0.0461448511769322
77,1,-6.83167802037477e-07,-0.114306992806735,-0.114306309638933
77,2,2.74084120344131e-06,-0.371066382310293,-0.371069123151496
77,3,-3.4781530385275e-06,-0.220990434545574,-0.220986956392535
78,1,4.76219925823335e-06,-0.137287849914319,-0.137292612113578
78,2,-1.20294830638357e-06,-0.486753236549087,-0.48675203360078
