NodeID,X,Y,Z,U1,U2,U3,UR1,UR2,UR3,FX_from_KU,FY_from_KU,FZ_from_KU,MX_from_KU,MY_from_KU,MZ_from_KU,ForceMagnitude,MomentMagnitude,IsFixedNode,IsExteriorSurfaceNode
26,12.782385645802,-3.3433284467167,-8.3524583898694,-1.57718989598238e-37,-2.08468594148429e-37,8.21754041708322e-38,-1.01078180568985e-38,-3.21648023917722e-39,5.14744570094292e-40,-0.239894795284013,-0.0472452085852871,0.287945585560198,-0.0106225679392136,0.00694430896915174,0.00355975397458474,0.377748967943304,0.013180827934611,1,1
27,10.312744143487,-3.3435435277666,-8.6272096464507,-9.8507459299824e-38,-1.10130736804339e-37,4.20748047496558e-38,-4.47058911540629e-39,-1.76547071183048e-39,7.80097249895768e-40,-0.140582479653888,-0.00977413494703181,0.150523086594545,-0.00525068911774363,0.00273434722762057,0.00246967715611883,0.206194488038714,0.00641449111214933,1,1
28,10.312744140598,-1.0344910744893,-9.5458561690637,-4.78498449491414e-37,-2.36244504526563e-37,3.82080253334378e-38,6.70826517984955e-39,-6.60420195329186e-39,1.01989725220028e-39,-0.516706929983303,0.246182324468268,0.266323167519043,0.00568835468958866,-0.0131997735999879,0.00773664569423286,0.631284260797579,0.0163232070612241,1,1
29,10.31274414063,1.441228007181,-9.8268722358449,-7.5177290492986e-37,-6.74436700034177e-37,-2.32428836070533e-38,-4.74630299605298e-39,7.1899264944996e-39,2.69295933680086e-40,-0.728531350137322,0.0886391307160773,0.638378428521562,-0.0050155836238061,0.0118139093583674,-0.00699990389865024,0.972698227421367,0.0146192745375909,1,1
30,10.312744140627,3.924721513293,-9.6217578073564,-5.54073009220075e-37,-8.15113478862478e-37,-1.96001566812575e-37,-1.30436476409392e-38,-2.9376484694474e-38,-5.25361507909249e-39,-0.358073089728981,-0.247329355222762,0.609621456062389,-0.00779009024529176,-0.0158376972761771,0.0238980014218994,0.749017000631223,0.0297091338312433,1,1
31,10.312744140383,6.308438099984,-8.9005470883921,-2.86507053603796e-36,-2.09938545027118e-36,-1.14266378872752e-36,-1.61016774575613e-38,-4.53669817305774e-39,-1.74813104463292e-39,-1.7224109331922,0.80079324988583,0.907950668006142,-0.0143535582564248,0.0116394324315596,0.00251549806680079,2.10531319935432,0.0186501676258821,1,1
32,10.312744140625,8.445301342666,-7.6226922452179,-9.23438558517627e-37,-2.84984162790163e-36,-2.4839695493068e-36,1.15254570626158e-38,-2.4354970883923e-38,-2.03881976118878e-38,1.5605249043421,-1.87832039072443,0.34984567522232,0.0319136139103176,-0.0354667444048855,0.00415833377254549,2.46692469762554,0.0478921752613325,1,1
33,10.312744137179,10.19809192298,-5.8554331836703,-5.77663243327349e-36,-4.23515605237367e-36,-7.18101133277607e-36,-1.60228530176446e-38,8.24881207387279e-39,1.00965193873806e-38,1.40437044399505,1.61230245775736,-3.04417898333667,-0.0261193622847786,0.0241298251906568,0.00157777941576159,3.72005392996472,0.0355943666579415,1,1
34,10.312744140651,11.35882976307,-3.6581977438476,-2.65900639068811e-36,-2.57604288505055e-36,-9.04423014587375e-36,-5.2968339263292e-39,6.57865488098875e-39,1.70700966093762e-38,6.38521856061623,0.126165331517238,-6.51352394289287,-0.0223669364387625,0.0117634326715549,0.0104027278054006,9.12211203134195,0.0273290127825193,1,1
35,10.312744140639,11.82388646346,-1.2125136469771,-2.87207855297231e-36,-3.33361421729074e-38,-5.29253668203773e-36,4.86462583578364e-39,-3.83009902761581e-40,-6.14903779130373e-39,2.42045813526868,2.83889476530551,-5.30778571625493,0.0110136754047477,-0.00524046282821547,-0.00568376634928318,6.4877215016327,0.013456176889752,1,1
