NodeID,X,Y,Z,U1_Completed,U2_Completed,U3_Completed,UR1_Completed,UR2_Completed,UR3_Completed,U_Magnitude,IsMeasuredNode,IsFixedNode
110,15.738664945649,8.436975724604,6.790927909125,-1.67474389045418,-6.94276997724392,1.8972797083227,-16.5897830745017,3.14868447096172,8.57600102707715,7.38962058208311,0,0
111,11.742743298588,8.937443558152,7.187671419627,0.00469343847933079,1.77583840186066,3.84339644923261,16.2282882508348,72.3237643893741,84.5380383066539,4.23383045525699,0,0
112,17.960154516719,6.949436324436,7.483651749409,1.46309,2.367635,13.883707,-23.2228071148856,-31.0184946521933,-45.5185046478073,14.1599310698596,1,0
113,14.078735295308,7.869931926417,7.779079130012,0.03584,2.491904,8.872432,-4.74586900799523,8.66947411362017,7.32742312705011,9.21579728756226,1,0
114,26.754927826731,3.166576499078,4.81534690522,-0.364101896998133,-2.69409882245709,1.19439632327875,6.62933341296703,-2.25307944784547,-3.54804387525871,2.96939745295643,0,0
115,23.753238189824,4.966908313304,5.917331716631,-3.44133765935038,-7.42274491940693,-0.214086786856861,0.919709507272101,-30.9372524990076,-15.6761392572351,8.18448411181494,0,0
116,22.702022566112,3.139816538379,8.074880628006,2.959224,-0.629833,9.99089,0.4540746101514,-4.35676947794486,-14.5509845861766,10.4389453146458,1,0
117,28.981461361526,0.472839552982,4.324794985698,0.576246600095803,-0.985333921636522,0.781719492779556,-17.8285051746167,-12.2536364037008,-7.55069052399291,1.38348416927737,0,0
118,19.736618042718,4.64323804525,8.467067136115,1.49466486712095,-0.418663164558972,9.8409072522309,30.9237139359773,36.7304484930829,61.8030156907821,9.96256781444296,0,0
119,15.741095726983,4.544609534125,9.354589892608,0.335519544766975,0.43511381230212,8.0543061689247,3.70421194885084,1.56644036400025,24.992667333929,8.07302578079342,0,0
120,11.745048555362,4.262047414671,9.616159420263,-0.0351910410877112,-0.0935639926985326,1.22121889090133,2.43002040564288,2.14018174926454,12.0636676444436,1.22530331330524,0,0
121,19.746486153894,-0.3477912142594,9.49363823917,0.261966227680006,-1.3861730597212,2.90017208650646,1.26482041425824,2.50254587767998,-21.1098622955793,3.22507367160704,0,0
122,15.745363738602,-0.8507382213017,9.494346204363,-0.0247229717737193,-0.121035208311459,0.192651681218293,-0.223748884024108,0.294900124816549,-0.345287949518627,0.228856761448197,0,0
123,11.745156109787,-1.3465661604488,9.482670019663,-0.0140931131828425,-0.00569596407714308,0.00828529626717157,0.0135514167287505,-0.239155183482157,0.865268062290324,0.0173120183741619,0,0
124,25.003364442936,1.2309509837,7.820838234858,2.257718,-1.780323,5.775821,-1.18792004443279,-0.00593236996804888,2.97641578747856,6.45189497557841,1,0
125,26.764024323436,0.667598149663,6.915429218772,0.643374947631248,-1.92715840203633,1.9116992410937,4.85046523386247,10.4419752398531,12.2452094411815,2.78970694127124,0,0
