Node_ID,U1,U2,U3,RF1,RF2,RF3
80,-1.999624371529e+00,-6.277361869812e+00,-2.697329044342e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
81,1.844510674477e+00,8.542672157288e+00,-1.112302017212e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
82,2.154550850391e-01,9.733892679214e-01,-5.809143066406e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
83,3.162350505590e-02,-5.995805263519e-01,-2.990505456924e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
84,1.365287423134e+00,9.266399145126e-01,-8.547964096069e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
85,2.434475183487e+00,6.706526279449e+00,-1.306851196289e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
86,-7.039503574371e+00,-1.884380912781e+01,-2.116910696030e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
87,-9.204019546509e+00,-2.560650634766e+01,-1.696538090706e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
88,6.749446988106e-01,-1.505418062210e+00,5.727235317230e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
89,1.146100521088e+00,-1.847526311874e+00,6.187184333801e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
90,2.552023172379e+00,-1.677513867617e-01,1.128431320190e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
91,2.933278560638e+00,2.850653529167e-01,1.370379829407e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
92,2.455125093460e+00,-1.503929376602e+00,9.806087493896e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
93,4.014956951141e-01,-3.847019195557e+00,3.799985170364e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
94,-1.383593529463e-01,-2.910944223404e+00,7.446948289871e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
95,-6.310848593712e-01,-2.663873195648e+00,-2.755902409554e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
96,-7.361845374107e-01,-2.980109453201e+00,-1.142947793007e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
97,6.274490952492e-01,-2.212998151779e+00,-2.488891363144e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
98,1.848509669304e+00,-1.835720181465e+00,-5.258236885071e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
99,2.869169712067e+00,1.139142870903e+00,-1.092821121216e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
100,-5.227768421173e+00,-1.301587104797e+01,1.101603031158e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
101,-9.650973320007e+00,-2.160935020447e+01,-2.026465415955e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
102,1.291430711746e+00,-2.551033735275e+00,-5.102866649628e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
103,-1.310389232635e+01,-2.946003723145e+01,-2.237608194351e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
104,-2.627812385559e+00,-7.868709564209e+00,-6.946690082550e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
105,-1.046788215637e+01,-2.281508827209e+01,-1.737785935402e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
106,-1.134094142914e+01,-2.366354560852e+01,-1.826459169388e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
107,-3.279656767845e-01,-4.900620937347e+00,-7.389607429504e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
108,-6.247097492218e+00,-1.423606872559e+01,-8.076798319817e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
109,-1.051114559174e+01,-2.510115814209e+01,-2.603425502777e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
110,-4.810618162155e-01,-4.705404341221e-01,8.748149871826e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
111,-2.248613536358e-02,2.263492584229e+00,4.506968975067e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
112,1.463090419769e+00,2.367634534836e+00,1.388370704651e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
113,3.584003821015e-02,2.491903781891e+00,8.872431755066e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
114,2.931726574898e-01,-2.913379430771e+00,2.126803159714e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
115,-1.958823919296e+00,-7.358285427094e+00,2.886308193207e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
116,2.959223985672e+00,-6.298333406448e-01,9.990889549255e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
117,9.797996878624e-01,-1.151477217674e+00,1.064268469810e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
118,1.784308671951e+00,-3.985359147191e-02,1.105822563171e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
119,3.485985994339e-01,3.692460954189e-01,7.860790729523e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
120,-3.224406763911e-02,-4.875405505300e-02,1.439696669579e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
121,3.020886778831e-01,-1.472628235817e+00,3.177416086197e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
122,-2.603960782290e-02,-1.031342446804e-01,1.466387212276e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
123,-1.368371583521e-02,-6.472243927419e-03,1.046960894018e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
124,2.257717609406e+00,-1.780323028564e+00,5.775820732117e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
125,1.327235817909e+00,-1.878161191940e+00,2.774455547333e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
126,6.450726389885e-01,-1.442814111710e+00,2.247554063797e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
127,1.130233108997e-01,-1.685309052467e+00,-9.581555128098e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
128,-1.321122646332e+00,-4.906570911407e+00,-2.347861528397e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
129,-6.315819740295e+00,-1.437784767151e+01,-2.416469335556e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
130,-1.006156349182e+01,-2.413078880310e+01,-2.101408004761e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
131,2.033558845520e+00,-1.246151328087e+00,-5.114740371704e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
132,1.646122336388e+00,-1.485498070717e+00,-3.348335742950e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
133,2.171199083328e+00,-5.487805008888e-01,-7.328126907349e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
134,1.213515758514e+00,-1.121166706085e+00,-1.653750181198e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
135,1.940712928772e+00,7.730860710144e-01,-9.403493881226e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
136,1.147831678391e-01,-6.630955613218e-04,-3.838919162750e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
137,-2.075023949146e-02,6.649146974087e-02,-1.195285677910e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
138,1.769840344787e-02,8.308751583099e-01,-4.450568199158e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
139,7.566208839417e-01,4.660334885120e-01,-7.992837429047e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
140,1.672976732254e+00,-1.799909949303e+00,-3.928451061249e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
